variable,group,value
2022-12-01,43010,0.0
2022-12-08,43010,0.0
2022-12-15,43010,0.0
2022-12-22,43010,0.0
2022-12-29,43010,0.0
2023-02-23,43010,0.0
2023-03-02,43010,0.0
2023-03-09,43010,0.0
2023-03-16,43010,0.0
2023-03-23,43010,0.0
2023-03-30,43010,0.0
2023-04-06,43010,0.0
2023-04-13,43010,0.0
2023-04-20,43010,0.0
2023-04-27,43010,0.0
2023-05-04,43010,0.0
2023-05-11,43010,0.0
2023-05-18,43010,0.0
2023-05-25,43010,0.0
2021-09-26,43011,60.0
2021-10-03,43011,64.0
2021-10-17,43011,32.0
2021-10-24,43011,20.0
2021-10-31,43011,20.0
2021-11-07,43011,28.0
2021-11-14,43011,41.0
2021-11-17,43011,39.0
2021-11-28,43011,34.0
2021-12-01,43011,43.0
2021-12-05,43011,56.0
2021-12-12,43011,62.0
2021-12-19,43011,59.0
2021-12-26,43011,49.0
2022-01-02,43011,96.0
2022-01-09,43011,128.0
2022-01-16,43011,131.0
2022-01-23,43011,117.0
2022-01-30,43011,99.0
2022-02-06,43011,47.0
2022-02-13,43011,32.0
2022-02-20,43011,22.0
2022-02-27,43011,11.0
2022-03-06,43011,7.0
2022-03-13,43011,6.0
2022-03-24,43011,8.0
2022-03-31,43011,0.0
2022-04-07,43011,7.0
2022-04-21,43011,0.0
2022-04-28,43011,5.0
2022-05-05,43011,0.0
2022-05-12,43011,10.0
2022-05-19,43011,19.0
2022-05-26,43011,23.0
2022-06-02,43011,20.0
2022-06-09,43011,18.0
2022-06-23,43011,11.0
2022-06-30,43011,25.0
2022-07-07,43011,15.0
2022-07-14,43011,11.0
2022-07-21,43011,17.0
2022-07-28,43011,26.0
2022-08-04,43011,22.0
2022-08-11,43011,12.0
2022-08-18,43011,11.0
2022-08-25,43011,23.0
2022-09-01,43011,19.0
2022-09-08,43011,18.0
2022-09-15,43011,18.0
2022-09-22,43011,11.0
2022-09-29,43011,5.0
2022-10-06,43011,0.0
2022-10-13,43011,7.0
2022-10-20,43011,9.0
2022-10-27,43011,7.0
2022-11-03,43011,0.0
2022-11-10,43011,8.0
2022-11-17,43011,8.0
2022-11-23,43011,9.0
2022-12-01,43011,20.0
2022-12-08,43011,14.0
2022-12-15,43011,13.0
2022-12-22,43011,13.0
2022-12-29,43011,11.0
2023-02-23,43011,0.0
2023-03-02,43011,5.0
2023-03-09,43011,9.0
2023-03-16,43011,6.0
2023-03-23,43011,0.0
2023-03-30,43011,6.0
2023-04-06,43011,6.0
2023-04-13,43011,6.0
2023-04-20,43011,0.0
2023-04-27,43011,0.0
2023-05-04,43011,0.0
2023-05-11,43011,0.0
2023-05-18,43011,0.0
2023-05-25,43011,0.0
2021-09-26,43013,6.0
2021-10-03,43013,8.0
2021-10-17,43013,8.0
2021-10-24,43013,7.0
2021-10-31,43013,0.0
2021-11-07,43013,0.0
2021-11-14,43013,7.0
2021-11-17,43013,7.0
2021-11-28,43013,5.0
2021-12-01,43013,7.0
2021-12-05,43013,6.0
2021-12-12,43013,11.0
2021-12-19,43013,9.0
2021-12-26,43013,10.0
2022-01-02,43013,13.0
2022-01-09,43013,18.0
2022-01-16,43013,31.0
2022-01-23,43013,25.0
2022-01-30,43013,14.0
2022-02-06,43013,0.0
2022-02-13,43013,0.0
2022-02-20,43013,0.0
2022-02-27,43013,0.0
2022-03-06,43013,0.0
2022-03-13,43013,0.0
2022-03-24,43013,0.0
2022-03-31,43013,0.0
2022-04-07,43013,0.0
2022-04-21,43013,0.0
2022-04-28,43013,0.0
2022-05-05,43013,0.0
2022-05-12,43013,0.0
2022-05-19,43013,0.0
2022-05-26,43013,0.0
2022-06-02,43013,0.0
2022-06-09,43013,0.0
2022-06-23,43013,0.0
2022-06-30,43013,0.0
2022-07-07,43013,0.0
2022-07-14,43013,0.0
2022-07-21,43013,0.0
2022-07-28,43013,0.0
2022-08-04,43013,7.0
2022-08-11,43013,0.0
2022-08-18,43013,0.0
2022-08-25,43013,7.0
2022-09-01,43013,0.0
2022-09-08,43013,0.0
2022-09-15,43013,0.0
2022-09-22,43013,0.0
2022-09-29,43013,0.0
2022-10-06,43013,0.0
2022-10-13,43013,0.0
2022-10-20,43013,0.0
2022-10-27,43013,0.0
2022-11-03,43013,5.0
2022-11-10,43013,5.0
2022-11-17,43013,0.0
2022-11-23,43013,0.0
2022-12-01,43013,0.0
2022-12-08,43013,0.0
2022-12-15,43013,0.0
2022-12-22,43013,0.0
2022-12-29,43013,0.0
2023-02-23,43013,0.0
2023-03-02,43013,0.0
2023-03-09,43013,0.0
2023-03-16,43013,0.0
2023-03-23,43013,0.0
2023-03-30,43013,0.0
2023-04-06,43013,0.0
2023-04-13,43013,0.0
2023-04-20,43013,0.0
2023-04-27,43013,0.0
2023-05-04,43013,0.0
2023-05-11,43013,0.0
2023-05-18,43013,0.0
2023-05-25,43013,0.0
2021-09-26,43014,26.0
2021-10-03,43014,19.0
2021-10-17,43014,12.0
2021-10-24,43014,9.0
2021-10-31,43014,13.0
2021-11-07,43014,8.0
2021-11-14,43014,11.0
2021-11-17,43014,10.0
2021-11-28,43014,7.0
2021-12-01,43014,7.0
2021-12-05,43014,8.0
2021-12-12,43014,11.0
2021-12-19,43014,21.0
2021-12-26,43014,26.0
2022-01-02,43014,35.0
2022-01-09,43014,38.0
2022-01-16,43014,48.0
2022-01-23,43014,52.0
2022-01-30,43014,29.0
2022-02-06,43014,19.0
2022-02-13,43014,14.0
2022-02-20,43014,5.0
2022-02-27,43014,0.0
2022-03-06,43014,0.0
2022-03-13,43014,0.0
2022-03-24,43014,0.0
2022-03-31,43014,0.0
2022-04-07,43014,0.0
2022-04-21,43014,0.0
2022-04-28,43014,7.0
2022-05-05,43014,5.0
2022-05-12,43014,5.0
2022-05-19,43014,7.0
2022-05-26,43014,8.0
2022-06-02,43014,0.0
2022-06-09,43014,0.0
2022-06-23,43014,0.0
2022-06-30,43014,0.0
2022-07-07,43014,0.0
2022-07-14,43014,5.0
2022-07-21,43014,0.0
2022-07-28,43014,6.0
2022-08-04,43014,9.0
2022-08-11,43014,13.0
2022-08-18,43014,13.0
2022-08-25,43014,6.0
2022-09-01,43014,0.0
2022-09-08,43014,7.0
2022-09-15,43014,6.0
2022-09-22,43014,0.0
2022-09-29,43014,0.0
2022-10-06,43014,0.0
2022-10-13,43014,0.0
2022-10-20,43014,0.0
2022-10-27,43014,5.0
2022-11-03,43014,6.0
2022-11-10,43014,0.0
2022-11-17,43014,0.0
2022-11-23,43014,0.0
2022-12-01,43014,0.0
2022-12-08,43014,0.0
2022-12-15,43014,5.0
2022-12-22,43014,5.0
2022-12-29,43014,0.0
2023-02-23,43014,0.0
2023-03-02,43014,0.0
2023-03-09,43014,0.0
2023-03-16,43014,0.0
2023-03-23,43014,0.0
2023-03-30,43014,0.0
2023-04-06,43014,0.0
